时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,487.0,0.019,0.58,0.654,0.326,0.445,96.0,98.0,98.0,97.0,102.0,108.0,110.0,104.0,112.0,111.0,106.0,100.0,97.0,99.0,101.0,99.0,89.0,90.0,90.0,86.0,86.0,85.0,84.0,81.0,79.0,81.0,81.0,77.0,,,89.0,90.0,82.0,81.0,,,100.0,99.0,97.0,93.0,90.0,91.0,84.0,83.0,105.0,104.0,98.0,95.0,91.0,91.0,85.0,83.0,99.0,99.0,94.0,95.0,91.0,91.0,85.0,83.0,93.0,94.0,90.0,91.0,91.0,90.0,83.0,83.0,91.0,92.0,85.0,86.0,87.0,86.0,81.0,82.0,86.0,88.0,81.0,83.0,83.0,84.0,79.0,81.0,89.0,86.0,81.0,84.0,83.0,81.0,78.0,79.0,88.0,85.0,81.0,81.0,79.0,78.0,76.0,74.0,86.0,82.0,81.0,80.0,76.0,75.0,75.0,75.0,84.0,77.0,77.0,76.0,73.0,72.0,72.0,74.0,81.0,77.0,73.0,72.0,70.0,68.0,69.0,71.0,76.0,74.0,71.0,72.0,64.0,63.0,64.0,65.0,71.0,69.0,68.0,68.0,58.0,59.0,58.0,59.0,63.0,61.0,61.0,61.0,48.0,53.0,50.0,51.0,50.0,55.0,52.0,54.0,,,,,,,,,93.83333333333333,89.5,79.2,62.375
1.0,,486.0,0.0186,0.601,0.501,0.354,0.438,95.0,97.0,97.0,95.0,101.0,108.0,110.0,104.0,112.0,111.0,106.0,99.0,97.0,98.0,99.0,98.0,88.0,90.0,90.0,86.0,86.0,85.0,84.0,80.0,79.0,80.0,80.0,76.0,,,89.0,90.0,82.0,81.0,,,99.0,97.0,96.0,93.0,90.0,91.0,84.0,82.0,103.0,103.0,97.0,93.0,91.0,91.0,85.0,83.0,98.0,98.0,93.0,93.0,90.0,90.0,84.0,82.0,93.0,94.0,90.0,91.0,90.0,89.0,82.0,83.0,90.0,91.0,84.0,85.0,87.0,86.0,81.0,82.0,86.0,88.0,81.0,82.0,82.0,84.0,79.0,81.0,89.0,86.0,81.0,84.0,82.0,81.0,78.0,79.0,87.0,85.0,81.0,81.0,79.0,78.0,76.0,74.0,86.0,81.0,80.0,79.0,75.0,74.0,74.0,74.0,83.0,77.0,77.0,76.0,72.0,72.0,71.0,73.0,80.0,75.0,72.0,72.0,70.0,68.0,68.0,70.0,75.0,73.0,71.0,72.0,64.0,63.0,64.0,65.0,71.0,68.0,67.0,67.0,57.0,58.0,58.0,59.0,63.0,61.0,61.0,61.0,47.0,52.0,50.0,51.0,49.0,54.0,51.0,53.0,,,,,,,,,93.27777777777777,88.9,78.75,61.90625
2.0,,486.0,0.0188,0.58,0.524,0.344,0.405,95.0,97.0,97.0,95.0,100.0,106.0,108.0,103.0,110.0,110.0,104.0,98.0,97.0,98.0,99.0,98.0,88.0,89.0,89.0,85.0,85.0,85.0,83.0,80.0,79.0,80.0,80.0,76.0,,,88.0,89.0,82.0,80.0,,,98.0,97.0,95.0,92.0,89.0,90.0,83.0,82.0,102.0,103.0,97.0,93.0,90.0,90.0,84.0,82.0,96.0,97.0,91.0,92.0,89.0,90.0,84.0,82.0,92.0,92.0,89.0,90.0,89.0,88.0,82.0,82.0,89.0,91.0,84.0,85.0,86.0,85.0,80.0,81.0,85.0,87.0,80.0,82.0,82.0,83.0,79.0,80.0,88.0,85.0,80.0,83.0,82.0,80.0,78.0,79.0,87.0,84.0,80.0,80.0,78.0,77.0,75.0,73.0,85.0,81.0,80.0,79.0,75.0,74.0,74.0,74.0,83.0,76.0,77.0,76.0,72.0,72.0,71.0,73.0,79.0,75.0,72.0,71.0,70.0,68.0,68.0,70.0,75.0,73.0,70.0,71.0,64.0,63.0,64.0,64.0,70.0,68.0,67.0,67.0,57.0,58.0,58.0,58.0,63.0,60.0,60.0,60.0,47.0,52.0,50.0,51.0,49.0,54.0,51.0,53.0,,,,,,,,,92.63888888888889,88.125,78.3,61.65625
3.0,,485.0,0.0185,0.627,0.524,0.368,0.405,94.0,95.0,96.0,94.0,98.0,105.0,107.0,102.0,110.0,110.0,104.0,98.0,95.0,96.0,98.0,96.0,87.0,88.0,88.0,85.0,85.0,85.0,83.0,80.0,78.0,79.0,79.0,75.0,,,87.0,88.0,82.0,80.0,,,97.0,96.0,95.0,91.0,89.0,90.0,83.0,82.0,102.0,101.0,95.0,92.0,89.0,89.0,84.0,82.0,96.0,97.0,91.0,92.0,89.0,89.0,83.0,82.0,91.0,91.0,89.0,90.0,89.0,88.0,82.0,82.0,89.0,90.0,83.0,84.0,85.0,84.0,80.0,81.0,85.0,87.0,80.0,82.0,81.0,82.0,78.0,80.0,88.0,85.0,80.0,83.0,82.0,80.0,77.0,78.0,86.0,83.0,79.0,80.0,78.0,77.0,75.0,73.0,85.0,80.0,79.0,78.0,74.0,73.0,74.0,74.0,83.0,76.0,77.0,76.0,72.0,71.0,71.0,72.0,79.0,74.0,72.0,71.0,70.0,68.0,68.0,69.0,74.0,72.0,70.0,71.0,64.0,63.0,64.0,64.0,70.0,68.0,66.0,66.0,56.0,57.0,58.0,58.0,63.0,60.0,60.0,60.0,47.0,52.0,49.0,50.0,48.0,54.0,50.0,53.0,,,,,,,,,91.83333333333333,87.725,77.9,61.3125
4.0,,485.0,0.0185,0.601,0.583,0.358,0.371,93.0,94.0,95.0,93.0,98.0,105.0,107.0,101.0,108.0,108.0,103.0,97.0,94.0,95.0,97.0,95.0,87.0,88.0,88.0,85.0,84.0,84.0,82.0,79.0,78.0,79.0,79.0,75.0,,,87.0,88.0,81.0,79.0,,,96.0,95.0,94.0,91.0,88.0,89.0,82.0,82.0,102.0,101.0,95.0,92.0,89.0,89.0,83.0,81.0,95.0,95.0,90.0,92.0,89.0,89.0,83.0,82.0,91.0,91.0,88.0,89.0,88.0,87.0,81.0,82.0,89.0,90.0,83.0,84.0,85.0,84.0,79.0,80.0,84.0,86.0,79.0,81.0,80.0,82.0,78.0,80.0,88.0,84.0,80.0,82.0,81.0,79.0,76.0,78.0,86.0,83.0,79.0,79.0,77.0,76.0,75.0,73.0,85.0,80.0,79.0,78.0,74.0,73.0,74.0,73.0,82.0,75.0,76.0,75.0,71.0,71.0,70.0,72.0,78.0,73.0,71.0,71.0,69.0,68.0,68.0,69.0,74.0,72.0,70.0,70.0,63.0,62.0,63.0,63.0,69.0,68.0,66.0,66.0,56.0,57.0,58.0,58.0,62.0,59.0,59.0,59.0,46.0,51.0,49.0,50.0,48.0,54.0,50.0,53.0,,,,,,,,,91.16666666666667,87.225,77.425,60.90625
5.0,,485.0,0.018,0.72,0.619,0.396,0.378,93.0,94.0,95.0,93.0,97.0,103.0,105.0,100.0,107.0,108.0,103.0,97.0,94.0,95.0,97.0,95.0,86.0,87.0,87.0,84.0,83.0,84.0,82.0,79.0,77.0,79.0,78.0,75.0,,,86.0,87.0,80.0,79.0,,,96.0,95.0,94.0,90.0,87.0,89.0,82.0,81.0,100.0,100.0,94.0,91.0,88.0,88.0,82.0,81.0,95.0,95.0,90.0,91.0,88.0,88.0,82.0,81.0,90.0,90.0,87.0,88.0,88.0,87.0,81.0,81.0,88.0,89.0,82.0,83.0,85.0,83.0,79.0,80.0,84.0,85.0,79.0,81.0,80.0,82.0,77.0,79.0,88.0,84.0,80.0,82.0,81.0,79.0,76.0,77.0,85.0,82.0,78.0,78.0,77.0,76.0,75.0,73.0,84.0,79.0,78.0,77.0,74.0,73.0,73.0,72.0,82.0,75.0,76.0,75.0,71.0,71.0,70.0,71.0,77.0,73.0,71.0,70.0,69.0,67.0,67.0,69.0,73.0,71.0,69.0,70.0,62.0,61.0,62.0,63.0,69.0,67.0,66.0,65.0,55.0,56.0,57.0,57.0,62.0,59.0,59.0,59.0,46.0,51.0,49.0,50.0,47.0,53.0,50.0,52.0,,,,,,,,,90.66666666666667,86.575,77.025,60.375
6.0,,485.0,0.018,0.72,0.796,0.372,0.405,91.0,93.0,95.0,93.0,97.0,103.0,105.0,100.0,107.0,106.0,101.0,95.0,93.0,94.0,95.0,94.0,85.0,86.0,87.0,84.0,83.0,83.0,81.0,78.0,77.0,78.0,78.0,74.0,,,86.0,87.0,80.0,78.0,,,95.0,94.0,92.0,89.0,87.0,88.0,81.0,80.0,99.0,99.0,94.0,91.0,88.0,88.0,82.0,81.0,94.0,94.0,89.0,90.0,87.0,87.0,82.0,81.0,90.0,90.0,87.0,88.0,87.0,86.0,80.0,80.0,87.0,88.0,82.0,83.0,85.0,83.0,79.0,79.0,83.0,85.0,78.0,80.0,80.0,82.0,77.0,79.0,87.0,83.0,79.0,81.0,80.0,79.0,75.0,77.0,85.0,82.0,78.0,78.0,77.0,76.0,74.0,72.0,83.0,79.0,77.0,77.0,73.0,72.0,73.0,72.0,81.0,74.0,75.0,74.0,70.0,70.0,69.0,70.0,77.0,73.0,71.0,70.0,68.0,66.0,66.0,68.0,72.0,70.0,69.0,70.0,62.0,61.0,62.0,63.0,68.0,66.0,65.0,65.0,54.0,56.0,57.0,57.0,62.0,59.0,59.0,59.0,46.0,50.0,49.0,50.0,47.0,53.0,50.0,52.0,,,,,,,,,89.91666666666667,86.05,76.525,60.03125
7.0,,485.0,0.0177,0.843,0.731,0.372,0.458,91.0,93.0,93.0,92.0,96.0,102.0,104.0,98.0,105.0,105.0,101.0,95.0,93.0,94.0,95.0,94.0,85.0,86.0,86.0,83.0,82.0,82.0,81.0,78.0,77.0,78.0,78.0,74.0,,,85.0,86.0,79.0,78.0,,,94.0,93.0,92.0,89.0,86.0,87.0,81.0,80.0,99.0,99.0,93.0,90.0,87.0,87.0,81.0,80.0,93.0,93.0,89.0,90.0,87.0,87.0,82.0,80.0,89.0,89.0,87.0,87.0,86.0,85.0,80.0,80.0,87.0,88.0,82.0,82.0,84.0,82.0,78.0,79.0,83.0,84.0,78.0,80.0,80.0,81.0,76.0,78.0,85.0,83.0,78.0,81.0,80.0,79.0,75.0,77.0,84.0,81.0,77.0,78.0,76.0,75.0,73.0,72.0,83.0,79.0,77.0,77.0,73.0,72.0,72.0,72.0,79.0,73.0,74.0,74.0,70.0,70.0,69.0,70.0,76.0,71.0,70.0,69.0,68.0,66.0,66.0,68.0,72.0,69.0,68.0,69.0,61.0,60.0,62.0,63.0,68.0,66.0,65.0,65.0,54.0,55.0,56.0,57.0,60.0,57.0,58.0,59.0,46.0,50.0,49.0,50.0,47.0,51.0,49.0,52.0,,,,,,,,,89.36111111111111,85.525,75.975,59.5625
8.0,,484.0,0.0177,0.886,0.796,0.396,0.485,90.0,91.0,92.0,91.0,96.0,102.0,104.0,98.0,105.0,105.0,100.0,94.0,91.0,93.0,94.0,93.0,85.0,86.0,86.0,83.0,82.0,82.0,81.0,77.0,76.0,77.0,77.0,74.0,,,85.0,86.0,79.0,78.0,,,93.0,92.0,91.0,88.0,86.0,87.0,81.0,79.0,97.0,97.0,92.0,90.0,87.0,87.0,81.0,80.0,93.0,93.0,88.0,89.0,86.0,86.0,81.0,80.0,89.0,89.0,87.0,87.0,86.0,85.0,79.0,80.0,85.0,87.0,81.0,82.0,84.0,82.0,78.0,79.0,82.0,83.0,77.0,79.0,80.0,81.0,76.0,78.0,85.0,82.0,78.0,80.0,79.0,78.0,75.0,76.0,84.0,81.0,77.0,78.0,76.0,75.0,73.0,71.0,81.0,77.0,76.0,76.0,73.0,72.0,72.0,72.0,79.0,72.0,74.0,73.0,69.0,69.0,68.0,70.0,73.0,71.0,70.0,69.0,67.0,66.0,65.0,67.0,69.0,68.0,68.0,69.0,61.0,60.0,62.0,62.0,66.0,63.0,65.0,64.0,53.0,55.0,56.0,57.0,60.0,57.0,58.0,58.0,45.0,50.0,48.0,49.0,47.0,50.0,49.0,52.0,,,,,,,,,88.80555555555556,85.025,75.475,58.9375
9.0,,484.0,0.0177,0.813,0.82,0.358,0.485,89.0,91.0,92.0,91.0,94.0,100.0,103.0,97.0,103.0,103.0,98.0,93.0,91.0,93.0,94.0,92.0,84.0,85.0,85.0,82.0,81.0,81.0,80.0,77.0,76.0,77.0,77.0,74.0,,,84.0,85.0,79.0,77.0,,,92.0,91.0,91.0,88.0,85.0,86.0,80.0,78.0,97.0,97.0,92.0,89.0,86.0,86.0,81.0,79.0,92.0,93.0,88.0,89.0,86.0,86.0,81.0,79.0,88.0,88.0,86.0,86.0,85.0,85.0,79.0,80.0,85.0,87.0,81.0,82.0,83.0,81.0,77.0,78.0,81.0,83.0,77.0,79.0,79.0,80.0,76.0,78.0,84.0,81.0,78.0,80.0,79.0,78.0,75.0,76.0,81.0,80.0,76.0,77.0,75.0,75.0,73.0,71.0,81.0,77.0,76.0,76.0,72.0,71.0,71.0,71.0,76.0,71.0,73.0,72.0,69.0,69.0,68.0,70.0,72.0,70.0,69.0,69.0,67.0,66.0,65.0,67.0,69.0,68.0,68.0,68.0,60.0,60.0,61.0,61.0,66.0,63.0,65.0,64.0,53.0,55.0,55.0,56.0,59.0,56.0,57.0,57.0,44.0,50.0,48.0,49.0,47.0,50.0,48.0,51.0,,,,,,,,,88.05555555555556,84.525,74.875,58.53125
