时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,637.0,0.0318,0.932,1.282,-0.025,0.773,78.0,78.0,79.0,77.0,79.0,84.0,86.0,83.0,90.0,85.0,86.0,82.0,78.0,80.0,83.0,81.0,73.0,73.0,75.0,74.0,72.0,72.0,72.0,71.0,68.0,68.0,68.0,66.0,,,72.0,74.0,70.0,70.0,,,78.0,81.0,77.0,76.0,72.0,71.0,70.0,71.0,72.0,74.0,70.0,73.0,71.0,71.0,69.0,69.0,71.0,72.0,70.0,71.0,69.0,70.0,68.0,67.0,70.0,71.0,69.0,70.0,68.0,68.0,67.0,67.0,69.0,68.0,68.0,68.0,66.0,66.0,65.0,66.0,68.0,67.0,65.0,66.0,72.0,71.0,70.0,71.0,72.0,74.0,70.0,73.0,71.0,71.0,69.0,69.0,71.0,72.0,70.0,71.0,69.0,70.0,68.0,67.0,70.0,71.0,69.0,70.0,68.0,68.0,67.0,67.0,69.0,68.0,68.0,68.0,66.0,66.0,65.0,66.0,68.0,67.0,65.0,66.0,65.0,65.0,64.0,64.0,66.0,66.0,64.0,65.0,61.0,62.0,62.0,61.0,63.0,64.0,62.0,62.0,57.0,59.0,57.0,56.0,58.0,61.0,59.0,60.0,52.0,56.0,52.0,52.0,54.0,53.0,55.0,54.0,,,,,,,,,76.63888888888889,69.075,69.075,59.71875
1.0,,633.0,0.0372,0.949,1.234,-0.025,0.82,77.0,78.0,78.0,77.0,78.0,83.0,86.0,83.0,90.0,85.0,86.0,82.0,78.0,80.0,83.0,81.0,72.0,73.0,74.0,73.0,71.0,72.0,72.0,71.0,68.0,68.0,68.0,66.0,,,72.0,73.0,70.0,69.0,,,78.0,80.0,76.0,76.0,72.0,71.0,70.0,71.0,71.0,73.0,70.0,72.0,71.0,70.0,69.0,69.0,71.0,72.0,70.0,70.0,69.0,70.0,68.0,67.0,69.0,71.0,69.0,70.0,68.0,68.0,67.0,67.0,69.0,68.0,68.0,67.0,66.0,66.0,65.0,65.0,68.0,67.0,65.0,66.0,72.0,71.0,70.0,71.0,71.0,73.0,70.0,72.0,71.0,70.0,69.0,69.0,71.0,72.0,70.0,70.0,69.0,70.0,68.0,67.0,69.0,71.0,69.0,70.0,68.0,68.0,67.0,67.0,69.0,68.0,68.0,67.0,66.0,66.0,65.0,65.0,68.0,67.0,65.0,66.0,65.0,65.0,64.0,63.0,66.0,66.0,64.0,65.0,61.0,62.0,62.0,61.0,62.0,64.0,62.0,62.0,56.0,59.0,57.0,56.0,58.0,61.0,59.0,59.0,52.0,56.0,52.0,52.0,54.0,53.0,55.0,54.0,,,,,,,,,76.30555555555556,68.875,68.875,59.59375
2.0,,633.0,0.0476,0.89,1.193,-0.025,0.686,77.0,77.0,78.0,76.0,78.0,83.0,86.0,82.0,89.0,84.0,85.0,81.0,78.0,79.0,82.0,80.0,72.0,73.0,74.0,73.0,71.0,72.0,72.0,70.0,68.0,68.0,68.0,66.0,,,72.0,73.0,70.0,69.0,,,77.0,80.0,76.0,76.0,71.0,71.0,70.0,70.0,71.0,73.0,70.0,72.0,71.0,70.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,70.0,68.0,67.0,69.0,70.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,67.0,68.0,67.0,66.0,66.0,65.0,65.0,68.0,67.0,65.0,65.0,71.0,71.0,70.0,70.0,71.0,73.0,70.0,72.0,71.0,70.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,70.0,68.0,67.0,69.0,70.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,67.0,68.0,67.0,66.0,66.0,65.0,65.0,68.0,67.0,65.0,65.0,65.0,64.0,63.0,63.0,66.0,66.0,64.0,65.0,61.0,61.0,61.0,60.0,62.0,64.0,62.0,62.0,56.0,59.0,56.0,56.0,58.0,60.0,59.0,59.0,52.0,56.0,52.0,52.0,54.0,53.0,55.0,54.0,,,,,,,,,75.97222222222223,68.6,68.6,59.375
3.0,,633.0,0.0544,0.89,1.11,-0.025,0.579,77.0,77.0,78.0,76.0,78.0,83.0,85.0,82.0,89.0,83.0,85.0,81.0,78.0,79.0,82.0,80.0,72.0,72.0,74.0,73.0,71.0,72.0,71.0,70.0,68.0,68.0,68.0,66.0,,,71.0,73.0,69.0,69.0,,,77.0,80.0,76.0,75.0,71.0,71.0,70.0,70.0,71.0,73.0,70.0,72.0,70.0,70.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,69.0,68.0,66.0,69.0,69.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,67.0,68.0,67.0,66.0,66.0,65.0,65.0,67.0,66.0,65.0,65.0,71.0,71.0,70.0,70.0,71.0,73.0,70.0,72.0,70.0,70.0,69.0,69.0,70.0,71.0,69.0,70.0,69.0,69.0,68.0,66.0,69.0,69.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,67.0,68.0,67.0,66.0,66.0,65.0,65.0,67.0,66.0,65.0,65.0,65.0,64.0,63.0,63.0,65.0,64.0,64.0,64.0,61.0,61.0,61.0,60.0,62.0,62.0,61.0,61.0,56.0,58.0,56.0,56.0,58.0,60.0,59.0,59.0,52.0,56.0,52.0,51.0,53.0,51.0,54.0,53.0,,,,,,,,,75.77777777777777,68.45,68.45,58.90625
4.0,,633.0,0.0607,0.835,1.128,-0.025,0.559,76.0,77.0,77.0,76.0,78.0,83.0,85.0,82.0,89.0,83.0,84.0,80.0,77.0,78.0,81.0,79.0,71.0,72.0,73.0,72.0,71.0,72.0,71.0,70.0,68.0,67.0,67.0,65.0,,,71.0,72.0,69.0,69.0,,,77.0,79.0,75.0,75.0,71.0,71.0,70.0,70.0,70.0,72.0,69.0,71.0,70.0,70.0,68.0,69.0,69.0,71.0,69.0,70.0,69.0,69.0,68.0,66.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0,66.0,67.0,66.0,67.0,67.0,66.0,66.0,65.0,65.0,67.0,65.0,64.0,65.0,71.0,71.0,70.0,70.0,70.0,72.0,69.0,71.0,70.0,70.0,68.0,69.0,69.0,71.0,69.0,70.0,69.0,69.0,68.0,66.0,69.0,69.0,68.0,69.0,68.0,67.0,67.0,66.0,67.0,66.0,67.0,67.0,66.0,66.0,65.0,65.0,67.0,65.0,64.0,65.0,64.0,64.0,63.0,63.0,65.0,64.0,64.0,64.0,61.0,61.0,61.0,60.0,60.0,62.0,61.0,61.0,56.0,58.0,56.0,55.0,57.0,58.0,58.0,59.0,52.0,55.0,51.0,51.0,53.0,51.0,54.0,53.0,,,,,,,,,75.30555555555556,68.125,68.125,58.59375
5.0,,633.0,0.0665,0.771,1.157,-0.025,0.652,76.0,77.0,77.0,76.0,77.0,82.0,84.0,81.0,88.0,83.0,84.0,80.0,77.0,78.0,81.0,79.0,71.0,72.0,73.0,72.0,70.0,71.0,71.0,70.0,67.0,67.0,67.0,65.0,,,71.0,72.0,69.0,68.0,,,76.0,79.0,75.0,75.0,70.0,71.0,70.0,70.0,70.0,72.0,69.0,71.0,70.0,70.0,68.0,68.0,67.0,71.0,69.0,70.0,68.0,69.0,67.0,66.0,67.0,69.0,68.0,69.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,67.0,65.0,66.0,64.0,65.0,65.0,64.0,64.0,65.0,70.0,71.0,70.0,70.0,70.0,72.0,69.0,71.0,70.0,70.0,68.0,68.0,67.0,71.0,69.0,70.0,68.0,69.0,67.0,66.0,67.0,69.0,68.0,69.0,67.0,67.0,67.0,66.0,67.0,66.0,67.0,67.0,65.0,66.0,64.0,65.0,65.0,64.0,64.0,65.0,64.0,64.0,63.0,63.0,63.0,63.0,63.0,64.0,60.0,61.0,61.0,60.0,60.0,61.0,60.0,61.0,56.0,58.0,56.0,55.0,57.0,58.0,58.0,58.0,52.0,55.0,51.0,51.0,53.0,49.0,53.0,53.0,,,,,,,,,75.02777777777777,67.775,67.775,58.25
6.0,,633.0,0.0693,0.741,1.146,-0.02,0.652,76.0,76.0,76.0,75.0,77.0,82.0,84.0,81.0,88.0,83.0,84.0,80.0,77.0,78.0,81.0,79.0,71.0,71.0,73.0,72.0,70.0,71.0,71.0,70.0,67.0,67.0,67.0,65.0,,,70.0,72.0,69.0,68.0,,,76.0,79.0,75.0,74.0,70.0,70.0,69.0,70.0,69.0,72.0,69.0,71.0,69.0,70.0,68.0,68.0,67.0,70.0,68.0,69.0,67.0,69.0,67.0,66.0,67.0,69.0,68.0,68.0,67.0,67.0,66.0,66.0,64.0,66.0,66.0,66.0,64.0,66.0,64.0,65.0,64.0,64.0,64.0,65.0,70.0,70.0,69.0,70.0,69.0,72.0,69.0,71.0,69.0,70.0,68.0,68.0,67.0,70.0,68.0,69.0,67.0,69.0,67.0,66.0,67.0,69.0,68.0,68.0,67.0,67.0,66.0,66.0,64.0,66.0,66.0,66.0,64.0,66.0,64.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,63.0,62.0,61.0,63.0,62.0,64.0,60.0,61.0,61.0,60.0,59.0,60.0,60.0,61.0,56.0,58.0,56.0,55.0,57.0,56.0,57.0,58.0,52.0,55.0,51.0,51.0,54.0,49.0,53.0,53.0,,,,,,,,,74.86111111111111,67.35,67.35,58.0
7.0,,633.0,0.0723,0.69,1.063,-0.025,0.639,76.0,76.0,76.0,75.0,76.0,81.0,84.0,80.0,87.0,83.0,84.0,80.0,76.0,77.0,81.0,79.0,71.0,71.0,73.0,72.0,70.0,71.0,71.0,69.0,67.0,67.0,67.0,65.0,,,70.0,72.0,69.0,68.0,,,76.0,78.0,74.0,74.0,70.0,70.0,69.0,70.0,69.0,72.0,69.0,71.0,69.0,69.0,68.0,68.0,66.0,70.0,68.0,69.0,67.0,69.0,67.0,66.0,65.0,68.0,67.0,68.0,66.0,66.0,66.0,66.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,63.0,64.0,63.0,64.0,70.0,70.0,69.0,70.0,69.0,72.0,69.0,71.0,69.0,69.0,68.0,68.0,66.0,70.0,68.0,69.0,67.0,69.0,67.0,66.0,65.0,68.0,67.0,68.0,66.0,66.0,66.0,66.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,63.0,64.0,63.0,64.0,64.0,64.0,63.0,62.0,61.0,62.0,62.0,64.0,60.0,61.0,61.0,60.0,59.0,60.0,60.0,61.0,56.0,58.0,56.0,55.0,56.0,55.0,57.0,58.0,52.0,55.0,51.0,51.0,54.0,48.0,53.0,52.0,,,,,,,,,74.61111111111111,66.975,66.975,57.84375
8.0,,633.0,0.0773,0.703,1.039,-0.025,0.706,75.0,75.0,76.0,75.0,75.0,80.0,83.0,80.0,87.0,82.0,83.0,79.0,76.0,77.0,80.0,78.0,70.0,71.0,72.0,72.0,70.0,71.0,71.0,69.0,67.0,67.0,67.0,65.0,,,70.0,71.0,68.0,68.0,,,75.0,78.0,74.0,74.0,70.0,70.0,69.0,69.0,67.0,71.0,68.0,71.0,69.0,69.0,68.0,68.0,66.0,70.0,68.0,69.0,67.0,68.0,66.0,66.0,65.0,68.0,67.0,68.0,66.0,66.0,66.0,66.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,62.0,63.0,63.0,64.0,70.0,70.0,69.0,69.0,67.0,71.0,68.0,71.0,69.0,69.0,68.0,68.0,66.0,70.0,68.0,69.0,67.0,68.0,66.0,66.0,65.0,68.0,67.0,68.0,66.0,66.0,66.0,66.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,62.0,63.0,63.0,64.0,63.0,64.0,62.0,62.0,60.0,61.0,62.0,64.0,60.0,61.0,60.0,60.0,58.0,59.0,59.0,60.0,56.0,58.0,56.0,55.0,56.0,55.0,56.0,58.0,52.0,55.0,51.0,51.0,54.0,47.0,52.0,52.0,,,,,,,,,74.19444444444444,66.75,66.75,57.46875
9.0,,633.0,0.0799,0.648,1.015,-0.025,0.666,75.0,75.0,76.0,75.0,75.0,80.0,83.0,80.0,86.0,81.0,82.0,79.0,75.0,76.0,79.0,78.0,70.0,71.0,72.0,72.0,69.0,70.0,70.0,69.0,66.0,66.0,66.0,65.0,,,70.0,71.0,68.0,68.0,,,75.0,78.0,73.0,74.0,69.0,69.0,68.0,69.0,67.0,71.0,68.0,71.0,68.0,69.0,67.0,68.0,66.0,70.0,68.0,69.0,67.0,68.0,66.0,65.0,63.0,68.0,67.0,68.0,66.0,66.0,65.0,65.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,61.0,62.0,63.0,64.0,69.0,69.0,68.0,69.0,67.0,71.0,68.0,71.0,68.0,69.0,67.0,68.0,66.0,70.0,68.0,69.0,67.0,68.0,66.0,65.0,63.0,68.0,67.0,68.0,66.0,66.0,65.0,65.0,63.0,65.0,66.0,66.0,64.0,65.0,64.0,64.0,61.0,62.0,63.0,64.0,62.0,63.0,62.0,62.0,60.0,61.0,62.0,63.0,59.0,61.0,60.0,59.0,58.0,59.0,59.0,60.0,55.0,58.0,55.0,55.0,56.0,55.0,56.0,58.0,52.0,55.0,51.0,51.0,54.0,47.0,52.0,52.0,,,,,,,,,73.83333333333333,66.45,66.45,57.25
