时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
0.0,,690.0,0.0232,0.58,0.761,-0.025,0.418,80.0,81.0,82.0,81.0,82.0,87.0,90.0,86.0,95.0,87.0,90.0,84.0,82.0,83.0,85.0,83.0,75.0,76.0,78.0,75.0,73.0,74.0,73.0,72.0,71.0,70.0,70.0,68.0,,,73.0,75.0,72.0,71.0,,,81.0,85.0,79.0,78.0,76.0,77.0,73.0,73.0,82.0,84.0,80.0,81.0,76.0,78.0,74.0,75.0,78.0,80.0,78.0,79.0,75.0,77.0,73.0,74.0,77.0,79.0,77.0,79.0,75.0,75.0,72.0,72.0,75.0,77.0,73.0,75.0,74.0,74.0,72.0,73.0,73.0,75.0,71.0,73.0,74.0,73.0,72.0,72.0,74.0,76.0,73.0,74.0,73.0,72.0,71.0,71.0,74.0,76.0,72.0,73.0,71.0,71.0,70.0,68.0,73.0,74.0,71.0,72.0,70.0,68.0,69.0,69.0,72.0,71.0,70.0,69.0,68.0,67.0,67.0,68.0,71.0,71.0,67.0,67.0,67.0,66.0,65.0,66.0,70.0,71.0,67.0,68.0,63.0,63.0,63.0,63.0,65.0,68.0,64.0,64.0,57.0,60.0,58.0,58.0,61.0,65.0,61.0,61.0,54.0,56.0,54.0,55.0,58.0,58.0,55.0,55.0,,,,,,,,,79.08333333333333,75.85,71.1,61.84375
1.0,,690.0,0.0219,0.618,0.832,-0.025,0.478,80.0,81.0,82.0,80.0,81.0,87.0,89.0,86.0,95.0,87.0,90.0,84.0,82.0,83.0,85.0,83.0,75.0,75.0,77.0,75.0,73.0,74.0,73.0,72.0,71.0,70.0,70.0,68.0,,,73.0,75.0,72.0,70.0,,,81.0,84.0,78.0,78.0,75.0,77.0,73.0,73.0,82.0,84.0,80.0,81.0,76.0,78.0,74.0,74.0,78.0,80.0,78.0,79.0,75.0,76.0,73.0,73.0,77.0,78.0,77.0,79.0,75.0,75.0,72.0,72.0,75.0,77.0,73.0,75.0,74.0,73.0,72.0,73.0,73.0,74.0,71.0,72.0,74.0,73.0,72.0,72.0,74.0,76.0,72.0,74.0,73.0,72.0,71.0,71.0,74.0,75.0,72.0,72.0,71.0,71.0,70.0,68.0,72.0,73.0,71.0,72.0,70.0,68.0,69.0,68.0,72.0,71.0,69.0,69.0,68.0,66.0,67.0,68.0,71.0,71.0,66.0,67.0,67.0,66.0,65.0,65.0,69.0,71.0,66.0,67.0,63.0,63.0,63.0,63.0,65.0,68.0,64.0,64.0,57.0,60.0,58.0,58.0,61.0,65.0,61.0,61.0,54.0,55.0,53.0,55.0,57.0,57.0,54.0,54.0,,,,,,,,,78.86111111111111,75.65,70.875,61.53125
2.0,,690.0,0.0223,0.648,0.802,-0.03,0.485,80.0,80.0,81.0,80.0,81.0,87.0,89.0,86.0,94.0,86.0,89.0,84.0,82.0,82.0,85.0,83.0,75.0,75.0,77.0,75.0,73.0,74.0,73.0,72.0,70.0,70.0,70.0,67.0,,,73.0,75.0,72.0,70.0,,,80.0,84.0,78.0,77.0,75.0,77.0,73.0,73.0,81.0,84.0,79.0,80.0,76.0,78.0,74.0,74.0,78.0,79.0,77.0,79.0,75.0,76.0,73.0,73.0,77.0,78.0,77.0,78.0,74.0,75.0,72.0,72.0,75.0,76.0,73.0,75.0,74.0,73.0,72.0,73.0,72.0,74.0,71.0,72.0,73.0,73.0,72.0,72.0,74.0,76.0,72.0,74.0,73.0,72.0,70.0,71.0,73.0,75.0,71.0,72.0,71.0,71.0,70.0,68.0,72.0,73.0,70.0,71.0,70.0,68.0,69.0,68.0,71.0,71.0,69.0,69.0,68.0,66.0,66.0,67.0,70.0,70.0,66.0,67.0,67.0,66.0,65.0,65.0,68.0,71.0,66.0,67.0,63.0,63.0,63.0,63.0,64.0,68.0,64.0,64.0,57.0,60.0,58.0,58.0,61.0,64.0,60.0,61.0,53.0,55.0,53.0,54.0,57.0,57.0,54.0,54.0,,,,,,,,,78.58333333333333,75.425,70.6,61.34375
3.0,,690.0,0.0215,0.648,0.879,-0.025,0.425,80.0,80.0,81.0,80.0,81.0,86.0,89.0,85.0,93.0,86.0,88.0,83.0,81.0,82.0,85.0,83.0,75.0,75.0,77.0,75.0,72.0,73.0,73.0,72.0,70.0,70.0,69.0,67.0,,,73.0,74.0,71.0,70.0,,,80.0,84.0,78.0,77.0,75.0,77.0,72.0,72.0,81.0,84.0,79.0,80.0,76.0,78.0,74.0,74.0,78.0,79.0,77.0,79.0,74.0,76.0,73.0,73.0,76.0,78.0,76.0,78.0,74.0,75.0,72.0,72.0,75.0,76.0,73.0,75.0,73.0,73.0,72.0,72.0,72.0,74.0,70.0,72.0,73.0,73.0,72.0,72.0,74.0,76.0,72.0,73.0,72.0,72.0,70.0,70.0,73.0,75.0,71.0,72.0,70.0,70.0,69.0,68.0,72.0,73.0,70.0,71.0,70.0,68.0,69.0,68.0,71.0,71.0,69.0,69.0,67.0,66.0,66.0,67.0,70.0,70.0,66.0,67.0,67.0,66.0,65.0,65.0,68.0,70.0,66.0,67.0,62.0,63.0,63.0,63.0,64.0,68.0,64.0,64.0,57.0,60.0,58.0,58.0,61.0,64.0,60.0,61.0,53.0,55.0,53.0,54.0,57.0,56.0,54.0,54.0,,,,,,,,,78.27777777777777,75.225,70.425,61.25
4.0,,690.0,0.0216,0.605,0.879,-0.025,0.438,79.0,80.0,81.0,79.0,80.0,86.0,89.0,85.0,93.0,86.0,88.0,83.0,81.0,82.0,84.0,82.0,74.0,74.0,77.0,75.0,72.0,73.0,73.0,72.0,70.0,70.0,69.0,67.0,,,72.0,74.0,71.0,70.0,,,80.0,83.0,77.0,77.0,75.0,76.0,72.0,72.0,81.0,83.0,79.0,80.0,75.0,77.0,73.0,73.0,77.0,79.0,77.0,79.0,74.0,76.0,73.0,73.0,76.0,78.0,76.0,78.0,74.0,74.0,72.0,72.0,74.0,76.0,73.0,75.0,73.0,73.0,72.0,72.0,72.0,74.0,70.0,72.0,73.0,73.0,72.0,72.0,73.0,76.0,72.0,73.0,72.0,72.0,70.0,70.0,73.0,75.0,71.0,72.0,70.0,70.0,69.0,68.0,72.0,73.0,70.0,71.0,70.0,68.0,68.0,68.0,71.0,70.0,69.0,69.0,67.0,66.0,66.0,67.0,70.0,70.0,66.0,67.0,66.0,65.0,65.0,65.0,68.0,70.0,66.0,67.0,62.0,63.0,63.0,62.0,64.0,67.0,63.0,64.0,57.0,60.0,58.0,58.0,60.0,64.0,60.0,60.0,53.0,54.0,53.0,54.0,57.0,56.0,54.0,54.0,,,,,,,,,78.0,75.0,70.35,61.0
5.0,,682.0,0.0216,0.563,0.956,-0.03,0.452,79.0,80.0,81.0,79.0,80.0,85.0,88.0,85.0,92.0,85.0,88.0,83.0,80.0,81.0,84.0,82.0,74.0,74.0,76.0,74.0,72.0,73.0,72.0,72.0,70.0,69.0,69.0,67.0,,,72.0,74.0,71.0,70.0,,,79.0,83.0,77.0,77.0,75.0,76.0,72.0,72.0,80.0,83.0,78.0,79.0,75.0,77.0,73.0,73.0,77.0,78.0,76.0,79.0,74.0,75.0,72.0,73.0,76.0,78.0,76.0,77.0,74.0,74.0,71.0,72.0,74.0,76.0,73.0,74.0,73.0,73.0,71.0,72.0,72.0,74.0,70.0,72.0,73.0,72.0,71.0,72.0,73.0,75.0,72.0,73.0,72.0,71.0,70.0,70.0,73.0,75.0,71.0,72.0,70.0,70.0,69.0,68.0,71.0,72.0,70.0,71.0,70.0,68.0,68.0,68.0,71.0,70.0,69.0,69.0,67.0,66.0,66.0,67.0,70.0,70.0,66.0,66.0,66.0,65.0,65.0,65.0,68.0,70.0,66.0,67.0,62.0,63.0,63.0,62.0,64.0,67.0,63.0,63.0,56.0,59.0,58.0,58.0,60.0,64.0,60.0,60.0,53.0,54.0,53.0,54.0,57.0,56.0,53.0,53.0,,,,,,,,,77.69444444444444,74.725,70.175,60.84375
6.0,,682.0,0.0216,0.61,0.779,-0.03,0.592,79.0,79.0,80.0,79.0,80.0,85.0,88.0,85.0,92.0,85.0,87.0,82.0,80.0,81.0,84.0,82.0,74.0,74.0,76.0,74.0,72.0,73.0,72.0,72.0,70.0,69.0,69.0,67.0,,,72.0,74.0,70.0,69.0,,,79.0,83.0,77.0,76.0,74.0,76.0,72.0,72.0,80.0,83.0,78.0,79.0,75.0,77.0,73.0,73.0,77.0,78.0,76.0,78.0,74.0,75.0,72.0,72.0,76.0,78.0,76.0,77.0,74.0,74.0,71.0,72.0,74.0,76.0,72.0,74.0,72.0,72.0,71.0,72.0,72.0,73.0,70.0,71.0,73.0,72.0,71.0,71.0,73.0,75.0,71.0,73.0,72.0,71.0,70.0,70.0,72.0,74.0,71.0,71.0,70.0,70.0,69.0,67.0,71.0,72.0,70.0,71.0,69.0,67.0,68.0,67.0,70.0,70.0,68.0,68.0,67.0,66.0,66.0,67.0,69.0,70.0,65.0,66.0,66.0,65.0,64.0,65.0,67.0,69.0,66.0,67.0,62.0,63.0,63.0,62.0,63.0,67.0,63.0,63.0,56.0,59.0,58.0,58.0,60.0,64.0,60.0,59.0,53.0,54.0,53.0,54.0,57.0,56.0,53.0,53.0,,,,,,,,,77.5,74.525,69.825,60.6875
7.0,,682.0,0.0217,0.601,0.779,-0.025,0.525,78.0,79.0,80.0,79.0,80.0,85.0,87.0,84.0,92.0,84.0,87.0,82.0,80.0,81.0,84.0,82.0,74.0,74.0,76.0,74.0,72.0,72.0,72.0,71.0,70.0,69.0,69.0,66.0,,,72.0,74.0,70.0,69.0,,,79.0,82.0,77.0,76.0,74.0,76.0,72.0,72.0,80.0,82.0,78.0,79.0,74.0,77.0,73.0,73.0,76.0,78.0,76.0,78.0,74.0,75.0,72.0,72.0,75.0,77.0,75.0,77.0,73.0,74.0,71.0,71.0,74.0,76.0,72.0,74.0,72.0,72.0,71.0,72.0,71.0,73.0,70.0,71.0,72.0,72.0,71.0,71.0,73.0,75.0,71.0,73.0,71.0,71.0,69.0,70.0,72.0,74.0,71.0,71.0,70.0,70.0,69.0,67.0,71.0,72.0,69.0,70.0,69.0,67.0,68.0,67.0,70.0,70.0,68.0,68.0,66.0,66.0,65.0,66.0,69.0,69.0,65.0,66.0,65.0,65.0,64.0,65.0,67.0,69.0,66.0,66.0,61.0,62.0,62.0,62.0,63.0,67.0,63.0,63.0,56.0,59.0,57.0,57.0,60.0,63.0,59.0,59.0,53.0,54.0,53.0,54.0,57.0,56.0,53.0,53.0,,,,,,,,,77.27777777777777,74.3,69.6,60.40625
8.0,,682.0,0.0217,0.635,0.749,-0.03,0.438,78.0,79.0,80.0,78.0,79.0,84.0,87.0,83.0,91.0,84.0,87.0,82.0,80.0,80.0,83.0,81.0,74.0,74.0,75.0,74.0,71.0,72.0,72.0,71.0,70.0,69.0,69.0,66.0,,,72.0,73.0,70.0,69.0,,,79.0,82.0,76.0,76.0,74.0,75.0,72.0,72.0,80.0,82.0,78.0,79.0,74.0,76.0,73.0,73.0,76.0,78.0,76.0,78.0,73.0,75.0,72.0,72.0,75.0,77.0,75.0,77.0,73.0,74.0,71.0,71.0,73.0,75.0,72.0,73.0,72.0,72.0,71.0,71.0,71.0,73.0,69.0,71.0,72.0,72.0,71.0,71.0,72.0,75.0,71.0,72.0,71.0,71.0,69.0,70.0,72.0,74.0,70.0,71.0,69.0,69.0,69.0,67.0,71.0,72.0,69.0,70.0,69.0,67.0,68.0,67.0,70.0,69.0,68.0,68.0,66.0,66.0,65.0,66.0,68.0,69.0,65.0,66.0,65.0,65.0,64.0,64.0,66.0,69.0,65.0,66.0,61.0,62.0,62.0,62.0,63.0,66.0,63.0,63.0,56.0,59.0,57.0,57.0,60.0,63.0,59.0,59.0,53.0,54.0,53.0,54.0,56.0,56.0,53.0,53.0,,,,,,,,,76.94444444444444,74.1,69.425,60.25
9.0,,682.0,0.0219,0.58,0.737,-0.03,0.485,78.0,78.0,80.0,78.0,79.0,84.0,87.0,83.0,91.0,84.0,86.0,81.0,79.0,80.0,82.0,81.0,73.0,73.0,75.0,74.0,71.0,72.0,72.0,71.0,69.0,69.0,68.0,66.0,,,71.0,73.0,70.0,69.0,,,78.0,82.0,76.0,75.0,74.0,75.0,71.0,71.0,79.0,81.0,77.0,78.0,74.0,76.0,73.0,73.0,76.0,77.0,76.0,78.0,73.0,75.0,72.0,72.0,75.0,77.0,75.0,77.0,73.0,73.0,71.0,71.0,73.0,75.0,72.0,73.0,72.0,72.0,71.0,71.0,71.0,73.0,69.0,71.0,72.0,72.0,71.0,71.0,72.0,75.0,71.0,72.0,71.0,71.0,69.0,69.0,71.0,73.0,70.0,71.0,69.0,69.0,68.0,67.0,70.0,72.0,69.0,70.0,68.0,67.0,67.0,67.0,69.0,69.0,68.0,68.0,66.0,65.0,65.0,66.0,68.0,69.0,65.0,66.0,65.0,65.0,64.0,64.0,66.0,69.0,65.0,66.0,61.0,62.0,62.0,61.0,63.0,66.0,63.0,63.0,56.0,59.0,57.0,57.0,59.0,63.0,59.0,59.0,52.0,54.0,52.0,53.0,56.0,56.0,53.0,53.0,,,,,,,,,76.61111111111111,73.9,69.2,60.09375
