file_name,is_complete,has_pre_fire,has_heat,has_trans,has_co,duration,usable_for_warning,usable_for_evolution,category,task_category_zh,has_k,duplicate_short_slice_of_exp10,event_time_sec,error,experiment_id,track,primary_track,evolution_role
41_clean.csv,False,False,True,True,True,1052.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,41,evolution,,post_fire
42_clean.csv,False,False,True,True,True,1020.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,42,evolution,,post_fire
43_clean.csv,False,False,True,True,True,707.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,43,evolution,,post_fire
44_clean.csv,False,False,True,True,True,877.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,44,evolution,,post_fire
45_clean.csv,False,False,True,True,True,618.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,45,evolution,,post_fire
46_clean.csv,False,False,True,True,True,1342.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,46,evolution,,post_fire
47_clean.csv,False,False,True,True,True,1393.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,47,evolution,,post_fire
48_clean.csv,False,False,True,True,True,1055.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,48,evolution,,post_fire
49_clean.csv,False,False,True,True,True,1088.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,49,evolution,,post_fire
4_clean.csv,True,True,True,True,True,362.0,True,True,complete_full,完整过程·预警主任务,True,False,95.0,,4,evolution,,full_process
50_clean.csv,False,False,True,True,True,1080.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,50,evolution,,post_fire
51_clean.csv,False,False,True,True,True,847.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,,51,evolution,,post_fire
