file_name,is_complete,has_pre_fire,has_heat,has_trans,has_co,duration,usable_for_warning,usable_for_evolution,category,task_category_zh,has_k,duplicate_short_slice_of_exp10,event_time_sec,error
55_clean.csv,False,False,True,True,True,751.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
57_clean.csv,False,False,True,True,True,722.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
59_clean.csv,False,False,True,True,True,2014.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
5_clean.csv,True,True,True,True,True,258.0,True,True,complete_full,完整过程·预警主任务,True,False,58.0,
60_clean.csv,False,False,True,True,True,907.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
61_clean.csv,False,False,True,True,True,928.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
62_clean.csv,False,False,True,True,True,1027.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
63_clean.csv,False,False,True,True,True,949.0,False,True,post_fire_only,起火后至结束·演化/阶段/峰值衰减分析,True,False,20.0,
6_clean.csv,True,True,True,True,True,235.0,True,True,complete_full,完整过程·预警主任务,True,False,77.0,
7_clean.csv,True,True,True,True,True,351.0,True,True,complete_full,完整过程·预警主任务,True,False,90.0,
8_clean.csv,True,True,True,True,True,182.0,True,True,complete_full,完整过程·预警主任务,True,False,62.0,
9_clean.csv,True,True,True,True,True,209.0,True,True,complete_full,完整过程·预警主任务,True,False,91.0,
fire_merged_1hz_reference.csv,True,True,True,True,True,1672.0,True,True,reference_long,长时程参考（高质量完整样本，可与预警主任务池区分使用）,True,False,304.0,
